date,adsStarted,activeStarted,inactiveStarted,pageCount,topPages,topTags,sampleAds
2026-05-11,8,8,0,1,Go Arrow(8),uncategorized(7); arrow_pin(1); brand_arrows(1); challenge(1); emoji_heavy(1); puzzle_core(1),1364020385562148|1478063100479663|1587006835698956|1687682215611393|2169391947191891|3029786437212161|3906336052995934|941005745399427
2026-05-12,32,2,30,4,Arrows GO GO(12); Arrows GO！(12); Arrows GO - puzzle game(7); Go Arrow(1),arrow_pin(31); emoji_heavy(31); puzzle_core(31); relax(31); challenge(20); urgency(20),1682426292897844|4464836973753673|1492279585640928|1742856513561847|3016999598503952|3903324836641373|4235288503281407|901876906237572|992327803308624|1017364614298152
2026-05-13,27,2,25,5,Arrows GO - puzzle game(8); Arrows GO GO(7); Arrows GO！(6); Arrow Go(3),arrow_pin(26); emoji_heavy(26); puzzle_core(26); relax(26); challenge(19); urgency(19),1946649352880936|959944203446272|1293512059296908|1325785589656420|1417439076805207|1770227270460435|2218558025652570|25954495877557305|836022102437532|941015932268468
2026-05-14,66,61,5,3,Arrows GO！(60); Arrows GO - puzzle game(4); Go Arrow(2),arrow_pin(64); challenge(64); emoji_heavy(64); puzzle_core(64); relax(64); urgency(64),1323337183014658|1678937979819442|1725205905168922|2497943957315632|1499957578304102|1540130524342340|1546983746949360|2006415266979410|2509830802809865|2707128883064746
2026-05-15,8,8,0,1,Arrows GO！(8),arrow_pin(8); brand_arrows(8); challenge(8); emoji_heavy(8); puzzle_core(8); relax(8),1654412425803616|3109072062618641|911390561913077|1376797677608482|1409251427897444|1042342605053295|963857982925084|1372864634696965
2026-05-17,1,1,0,1,Arrows GO！(1),arrow_pin(1); brand_arrows(1); challenge(1); emoji_heavy(1); puzzle_core(1); relax(1),749099088225586
2026-05-18,29,26,3,1,Arrows GO！(29),uncategorized(27); arrow_pin(2); emoji_heavy(2); puzzle_core(2); relax(2),1274677041444133|4494106590871860|999777769115303|4718735691687116|1281783770708318|1496638328768961|1644240643326159|1293511259161164|1983666295622371|1356975212986543
2026-05-19,158,146,12,3,Go Arrow(76); Arrows GO！(73); Arrows GO - puzzle game(9),arrow_pin(85); emoji_heavy(83); puzzle_core(83); relax(83); challenge(78); urgency(78),1295279449427287|1320205040229686|1371809981455403|1467245957947380|1506371824357839|1982449239032370|2169830763794729|980979864862003|989942460286915|1282313564055265
2026-05-20,25,25,0,2,Go Arrow(23); Arrows GO！(2),uncategorized(23); arrow_pin(2); brand_arrows(2); challenge(2); emoji_heavy(2); puzzle_core(2),1006588235122066|1010110138108456|1130350325970251|1287459430164441|1404370601726863|1424447223054567|1432070915341454|1432781982205015|1472034273974788|1499712168218655
2026-05-21,274,262,12,4,Arrows GO！(143); Arrow Go(67); Go Arrow(55); Arrows GO GO(9),arrow_pin(176); emoji_heavy(174); relax(174); brand_arrows(171); puzzle_core(166); challenge(150),4798327420403710|982488544374588|1012757314773547|1233386365370786|1283438747294134|1284304560455204|1374378841185858|1470060334220386|1538676511205697|1655139872391156
