category,reason,occurrence_count,kind,sha256,source_representative,output_file,clip_top,clip_margin,clip_arrows,clip_other_gameplay,clip_live_action,clip_non_game,vision_faces,vision_humans
01_arrows,arrow_maze_or_clip,1,video,318f4940e8770c271321163b0209226d9f39a494b1d6f92d08b026671d08a2b9,page_899629066577253/videos/ad_2168862560620002_asset_964423173148033_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2168862560620002__sha_318f4940e877__ad_2168862560620002_asset_964423173148033_hd.mp4,arrows,0.5158085972070694,0.6996446251869202,0.18383602797985077,0.05189342796802521,0.06462579220533371,0,0
01_arrows,arrow_maze_or_clip,1,video,c846e817a82d0e15f8ba9671f37bb6a5a980a8fa5c0c4a6a1d19ad2686294842,page_899629066577253/videos/ad_2168947997215626_asset_843930095431091_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2168947997215626__sha_c846e817a82d__ad_2168947997215626_asset_843930095431091_hd.mp4,arrows,0.7131750881671906,0.8245905637741089,0.11141547560691833,0.01897004060447216,0.045023974031209946,0,0
01_arrows,arrow_maze_or_clip,1,video,35506c4dac8442a68fd73ba937c98f35248b7f807f8063c99b44d151b8117516,page_899629066577253/videos/ad_2169822857133839_asset_1664700791285063_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2169822857133839__sha_35506c4dac84__ad_2169822857133839_asset_1664700791285063_hd.mp4,arrows,0.07326671481132507,0.4880858361721039,0.4148191213607788,0.03287852928042412,0.06421658396720886,0,0
01_arrows,arrow_maze_or_clip,1,video,d3bf74f1e5de8372342876f15509224217fbb6d8b49ac94d01f7fd45cbe207e7,page_899629066577253/videos/ad_2172528703595922_asset_1018821133969515_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2172528703595922__sha_d3bf74f1e5de__ad_2172528703595922_asset_1018821133969515_hd.mp4,arrows,0.2673631012439728,0.5429204702377319,0.27555736899375916,0.05099635571241379,0.13052582740783691,0,0
01_arrows,arrow_maze_or_clip,1,video,f34ae268a574edd240eef6bd0ef16922a0b09cc5bfc27176a4e79968d164fa54,page_899629066577253/videos/ad_2173963346507107_asset_2526583214469111_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2173963346507107__sha_f34ae268a574__ad_2173963346507107_asset_2526583214469111_hd.mp4,arrows,0.5879906266927719,0.737261176109314,0.14927054941654205,0.028940148651599884,0.08452809602022171,0,0
01_arrows,arrow_maze_or_clip,1,video,a1fe00ae1b9542217133bfdc36b32075cccf55041ea7d94fdab19c93ad0b0f44,page_899629066577253/videos/ad_2174922596691392_asset_1582139643507100_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2174922596691392__sha_a1fe00ae1b95__ad_2174922596691392_asset_1582139643507100_hd.mp4,arrows,0.35675641894340515,0.5520048141479492,0.1817810982465744,0.19524839520454407,0.0709657296538353,0,0
03_live_action_real_people,vision_or_live_action,1,video,cd87327568c2132f05848c4972e2a6f0e97c7436a20e472633f8fbe39c578ce1,page_899629066577253/videos/ad_2179357819518343_asset_1351714859620269_hd.mp4,03_live_action_real_people/x0001__page_899629066577253__ad_2179357819518343__sha_cd87327568c2__ad_2179357819518343_asset_1351714859620269_hd.mp4,live_action,0.06983870267868042,0.27778029441833496,0.22258926928043365,0.3476189970970154,0.15201136469841003,0,0
01_arrows,arrow_maze_or_clip,1,video,1848c1b2a77b3d883232682ba1638bbee3a62af0fe7d25a514708dcd49b01013,page_899629066577253/videos/ad_2183571882470492_asset_1313450493968152_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2183571882470492__sha_1848c1b2a77b__ad_2183571882470492_asset_1313450493968152_hd.mp4,arrows,0.3871428966522217,0.5827281475067139,0.15184463560581207,0.1955852508544922,0.06984196603298187,0,0
01_arrows,arrow_maze_or_clip,1,video,15aa0132a0fba067757d956f4b8b13814cf8e018957468bdaba1d1f9e0d81310,page_899629066577253/videos/ad_2190068821834509_asset_1651708062784870_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2190068821834509__sha_15aa0132a0fb__ad_2190068821834509_asset_1651708062784870_hd.mp4,arrows,0.2020588368177414,0.45187678933143616,0.21586719155311584,0.08243811875581741,0.24981795251369476,0,0
01_arrows,arrow_maze_or_clip,1,video,0dbfff9d183573b395a092439c66985f821606519e7f4f3fe901ab97dd8485c1,page_899629066577253/videos/ad_2190430871805284_asset_1616708172762880_hd.mp4,01_arrows/x0001__page_899629066577253__ad_2190430871805284__sha_0dbfff9d1835__ad_2190430871805284_asset_1616708172762880_hd.mp4,arrows,0.12413725256919861,0.45625001192092896,0.33211275935173035,0.08478883653879166,0.12684844434261322,0,0
